"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","181","19653","17803","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","19","2096","1621","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","32","3470","2820","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","4","481","393","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","25","2717","2233","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","6","700","567","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","219","23723","21975","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","793","39794","36917","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","164","8239","7524","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","177","8901","8132","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","129","6464","6091","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","27","1360","1113","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","46","2302","2060","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","32","1606","1439","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","9","444","365","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","194","9737","9518","2617","2530"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","856","22474","20713","1368","1296"
