"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hounslow","Local Authority","E09000018","All pupils","All pupils","57","2667","NA","NA","","54","1354","60","1313"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","61","1515","NA","NA","","60","703","61","812"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Merton","Local Authority","E09000024","All pupils","All pupils","42","1440","NA","NA","","37","731","48","709"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Redbridge","Local Authority","E09000026","All pupils","All pupils","43","3363","NA","NA","","38","1747","48","1616"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","57","1367","NA","NA","","50","638","63","729"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sutton","Local Authority","E09000029","All pupils","All pupils","56","2667","NA","NA","","50","1370","62","1297"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","39","2539","NA","NA","","29","1259","50","1280"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","38","1076","NA","NA","","32","548","44","528"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","39","2139","NA","NA","","36","1094","42","1045"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","44","5622","NA","NA","","40","2836","48","2786"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","East Sussex","Local Authority","E10000011","All pupils","All pupils","35","4930","NA","NA","","30","2500","39","2430"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hampshire","Local Authority","E10000014","All pupils","All pupils","41","13101","NA","NA","","36","6758","47","6343"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","28","1305","NA","NA","","23","674","35","631"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Kent","Local Authority","E10000016","All pupils","All pupils","43","15727","NA","NA","","38","7996","49","7731"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Medway","Local Authority","E06000035","All pupils","All pupils","37","2967","NA","NA","","35","1508","39","1459"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","44","2800","NA","NA","","39","1420","49","1380"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","38","5975","NA","NA","","30","3053","46","2922"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Portsmouth","Local Authority","E06000044","All pupils","All pupils","38","1729","NA","NA","","37","909","39","820"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Reading","Local Authority","E06000038","All pupils","All pupils","37","1169","NA","NA","","35","625","40","544"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Slough","Local Authority","E06000039","All pupils","All pupils","42","1632","NA","NA","","39","820","45","812"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Southampton","Local Authority","E06000045","All pupils","All pupils","40","1952","NA","NA","","35","967","46","985"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Surrey","Local Authority","E10000030","All pupils","All pupils","46","10399","NA","NA","","40","5346","52","5053"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","West Berkshire","Local Authority","E06000037","All pupils","All pupils","48","1906","NA","NA","","44","980","52","926"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","West Sussex","Local Authority","E10000032","All pupils","All pupils","41","8118","NA","NA","","35","4130","47","3988"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","44","1470","NA","NA","","37","769","52","701"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Wokingham","Local Authority","E06000041","All pupils","All pupils","53","1601","NA","NA","","45","851","63","750"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","52","2022","NA","NA","","50","982","55","1040"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bournemouth","Local Authority","E06000028","All pupils","All pupils","43","1617","NA","NA","","39","832","47","785"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","32","3138","NA","NA","","26","1563","38","1575"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cornwall","Local Authority","E06000052","All pupils","All pupils","33","5432","NA","NA","","28","2761","38","2671"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Devon","Local Authority","E10000008","All pupils","All pupils","43","6971","NA","NA","","38","3613","47","3358"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Dorset","Local Authority","E10000009","All pupils","All pupils","46","4153","NA","NA","","43","2115","50","2038"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","35","6385","NA","NA","","31","3295","39","3090"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","x","23","NA","NA","Suppressed","x","12","x","11"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","North Somerset","Local Authority","E06000024","All pupils","All pupils","32","2176","NA","NA","","27","1108","36","1068"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Plymouth","Local Authority","E06000026","All pupils","All pupils","40","2640","NA","NA","","32","1345","48","1295"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Poole","Local Authority","E06000029","All pupils","All pupils","x","1438","NA","NA","Suppressed","x","744","x","694"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Somerset","Local Authority","E10000027","All pupils","All pupils","36","5137","NA","NA","","30","2588","41","2549"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","33","2770","NA","NA","","30","1468","36","1302"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Swindon","Local Authority","E06000030","All pupils","All pupils","33","2109","NA","NA","","29","1078","37","1031"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Torbay","Local Authority","E06000027","All pupils","All pupils","32","1511","NA","NA","","31","787","33","724"
