"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 2 statistics"
"Department","Department for Education"
"Last update","12 January 2017 (revised)"
"
"
Measure,Year,Year_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Value_type,Denominator
Percentage of pupils reaching the expected standard in writing by ethnicity ,2015 to 2016,Academic year,England,All,E92000001,All,All,All,All/Boys/Girls,74,%,"585,577"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Walsall,E08000030,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,"2,173"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Warwickshire,E10000031,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,"5,073"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Wolverhampton,E08000031,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,"1,591"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Worcestershire,E10000034,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,"5,465"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Bedford,E06000055,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,67,%,"1,280"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Cambridgeshire,E10000003,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,"5,607"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Central Bedfordshire,E06000056,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"2,706"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Essex,E10000012,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"13,447"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Hertfordshire,E10000015,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,"10,071"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Luton,E06000032,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,908
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Norfolk,E10000020,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"7,769"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Peterborough,E06000031,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,"1,707"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Southend-on-Sea,E06000033,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,"1,595"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Suffolk,E10000029,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,"6,785"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Thurrock,E06000034,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,"1,527"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Camden,E09000007,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,617
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,City of London,E09000001,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,100,%,8
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hackney,E09000012,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,779
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hammersmith and Fulham,E09000013,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,495
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Haringey,E09000014,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,"1,276"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Islington,E09000019,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,802
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kensington and Chelsea,E09000020,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,308
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Lambeth,E09000022,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,800
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Lewisham,E09000023,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,"1,018"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Newham,E09000025,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,703
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Southwark,E09000028,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,812
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Tower Hamlets,E09000030,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,415
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Wandsworth,E09000032,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,861
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Westminster,E09000033,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,388
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barking and Dagenham,E09000002,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,"1,204"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barnet,E09000003,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,"1,903"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bexley,E09000004,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"1,997"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Brent,E09000005,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,846
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bromley,E09000006,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,"2,466"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Croydon,E09000008,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"1,533"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Ealing,E09000009,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,"1,100"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Enfield,E09000010,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,"1,979"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Greenwich,E09000011,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,"1,220"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Harrow,E09000015,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,690
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Havering,E09000016,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,"2,129"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hillingdon,E09000017,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,"1,563"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hounslow,E09000018,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,904
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kingston upon Thames,E09000021,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,"1,091"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Merton,E09000024,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,932
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Redbridge,E09000026,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,837
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Richmond upon Thames,E09000027,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,"1,476"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Sutton,E09000029,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,"1,273"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Waltham Forest,E09000031,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,"1,044"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Bracknell Forest,E06000036,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,"1,109"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Brighton and Hove,E06000043,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,"1,987"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Buckinghamshire,E10000002,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,"4,206"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,East Sussex,E10000011,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,"4,605"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Hampshire,E10000014,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,"12,821"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Isle of Wight,E06000046,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,"1,276"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Kent,E10000016,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,"14,065"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Medway,E06000035,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,"2,523"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Milton Keynes,E06000042,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,"2,100"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Oxfordshire,E10000025,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,"5,626"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Portsmouth,E06000044,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,"1,669"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Reading,E06000038,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,829
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Slough,E06000039,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,609
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Southampton,E06000045,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,"1,770"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Surrey,E10000030,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"9,390"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Berkshire,E06000037,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,"1,497"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Sussex,E10000032,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,60,%,"7,229"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Windsor and Maidenhead,E06000040,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,"1,005"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Wokingham,E06000041,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,"1,406"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bath and North East Somerset,E06000022,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,"1,560"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bournemouth,E06000028,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,"1,376"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,"Bristol, City of",E06000023,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"3,008"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Cornwall,E06000052,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,"5,295"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Devon,E10000008,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,"7,113"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Dorset,E10000009,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,60,%,"3,847"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Gloucestershire,E10000013,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,"5,460"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Isles of Scilly,E06000053,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,60,%,20
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,North Somerset,E06000024,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"2,038"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Plymouth,E06000026,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,"2,475"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Poole,E06000029,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,"1,219"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Somerset,E10000027,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,"5,255"
